Time	Open	High	Low	Close	Volume
2014-02-27 15:00:00	102.117	102.167	101.926	102.085	11641
2014-02-27 16:00:00	102.086	102.214	102.075	102.123	7340
2014-02-27 17:00:00	102.123	102.17	102.046	102.092	3508
2014-02-27 18:00:00	102.093	102.201	102.071	102.188	2516
2014-02-27 19:00:00	102.188	102.196	102.033	102.066	2363
2014-02-27 20:00:00	102.067	102.127	102.051	102.119	2483
2014-02-27 21:00:00	102.121	102.153	102.086	102.125	1389
2014-02-27 22:00:00	102.124	102.185	102.119	102.173	1264
2014-02-27 23:00:00	102.175	102.2	102.079	102.115	2731
2014-02-28 00:00:00	102.115	102.134	101.857	101.919	6345
2014-02-28 01:00:00	101.919	101.946	101.821	101.928	5461
2014-02-28 02:00:00	101.928	101.964	101.82	101.876	3311
2014-02-28 03:00:00	101.876	101.876	101.765	101.795	4413
2014-02-28 04:00:00	101.795	101.823	101.557	101.606	4499
2014-02-28 05:00:00	101.605	101.769	101.552	101.714	6993
2014-02-28 06:00:00	101.714	101.861	101.704	101.816	3831
2014-02-28 07:00:00	101.816	101.887	101.643	101.643	4255
2014-02-28 08:00:00	101.643	101.771	101.622	101.747	4815
2014-02-28 09:00:00	101.743	101.747	101.637	101.73	4331
2014-02-28 10:00:00	101.727	101.936	101.727	101.897	6179
2014-02-28 11:00:00	101.898	101.989	101.865	101.917	3556
2014-02-28 12:00:00	101.916	101.938	101.872	101.884	3513
2014-02-28 13:00:00	101.884	101.969	101.787	101.924	5600
2014-02-28 14:00:00	101.923	102.256	101.903	102.208	8290
2014-02-28 15:00:00	102.206	102.293	102.048	102.049	7744
2014-02-28 16:00:00	102.05	102.114	101.988	102.086	4450
2014-02-28 17:00:00	102.086	102.086	102.009	102.066	2157
2014-02-28 18:00:00	102.068	102.131	102.043	102.051	2331
2014-02-28 19:00:00	102.05	102.053	101.785	101.798	2803
2014-02-28 20:00:00	101.797	101.832	101.666	101.776	6384
2014-02-28 21:00:00	101.776	101.869	101.753	101.79	1775
2014-03-02 22:00:00	101.482	101.682	101.461	101.461	2371
2014-03-02 23:00:00	101.463	101.54	101.255	101.34	6784
2014-03-03 00:00:00	101.34	101.428	101.255	101.323	7803
2014-03-03 01:00:00	101.323	101.419	101.292	101.394	5783
2014-03-03 02:00:00	101.394	101.484	101.368	101.459	3828
2014-03-03 03:00:00	101.461	101.473	101.377	101.41	3278
2014-03-03 04:00:00	101.411	101.435	101.362	101.422	2715
2014-03-03 05:00:00	101.422	101.5	101.405	101.445	3937
2014-03-03 06:00:00	101.444	101.444	101.371	101.384	2278
2014-03-03 07:00:00	101.384	101.423	101.284	101.353	4395
2014-03-03 08:00:00	101.355	101.382	101.296	101.337	5627
2014-03-03 09:00:00	101.338	101.384	101.249	101.276	4087
2014-03-03 10:00:00	101.277	101.321	101.25	101.265	3288
2014-03-03 11:00:00	101.266	101.274	101.2	101.229	4166
2014-03-03 12:00:00	101.229	101.386	101.213	101.363	5296
2014-03-03 13:00:00	101.362	101.399	101.266	101.361	5338
2014-03-03 14:00:00	101.363	101.519	101.331	101.437	7800
2014-03-03 15:00:00	101.462	101.571	101.401	101.432	8693
2014-03-03 16:00:00	101.432	101.433	101.359	101.359	4740
2014-03-03 17:00:00	101.359	101.502	101.332	101.414	5761
2014-03-03 18:00:00	101.414	101.464	101.381	101.432	3423
2014-03-03 19:00:00	101.432	101.458	101.393	101.425	2601
2014-03-03 20:00:00	101.425	101.436	101.363	101.393	2333
